person_id,name,name_cn,name_en
1040673,理查德·柯蒂斯 Richard Curtis,理查德·柯蒂斯,Richard Curtis
1286490,马克·赫尔曼 Mark Herman,马克·赫尔曼,Mark Herman
1338840,杨宇硕 Woo-seok Yang,杨宇硕,Woo-seok Yang
1009704,卡洛斯·沙尔丹哈 Carlos Saldanha,卡洛斯·沙尔丹哈,Carlos Saldanha
1032454,克里斯·韦奇 Chris Wedge,克里斯·韦奇,Chris Wedge
1333600,金秉祐 Byeong-woo Kim,金秉祐,Byeong-woo Kim
1054398,张艺谋 Yimou Zhang,张艺谋,Yimou Zhang
1049678,诺亚·鲍姆巴赫 Noah Baumbach,诺亚·鲍姆巴赫,Noah Baumbach
1393516,阿尼什·查甘蒂 Aneesh Chaganty,阿尼什·查甘蒂,Aneesh Chaganty
1054385,比利·怀尔德 Billy Wilder,比利·怀尔德,Billy Wilder
1038123,汉内斯·赫尔姆 Hannes Holm,汉内斯·赫尔姆,Hannes Holm
1018030,邓肯·琼斯 Duncan Jones,邓肯·琼斯,Duncan Jones
1049929,罗伯特·怀斯 Robert Wise,罗伯特·怀斯,Robert Wise
1041000,达伦·阿伦诺夫斯基 Darren Aronofsky,达伦·阿伦诺夫斯基,Darren Aronofsky
1031852,马修·沃恩 Matthew Vaughn,马修·沃恩,Matthew Vaughn
1315309,万籁鸣 Laiming Wan,万籁鸣,Laiming Wan
1282165,罗纳尔多·德尔·卡门 Ronaldo Del Carmen,罗纳尔多·德尔·卡门,Ronaldo Del Carmen
1299674,莫滕·泰杜姆 Morten Tyldum,莫滕·泰杜姆,Morten Tyldum
1348615,乔什·库雷 Josh Cooley,乔什·库雷,Josh Cooley
1027853,吴宇森 John Woo,吴宇森,John Woo
1023888,保罗·杰诺维塞 Paolo Genovese,保罗·杰诺维塞,Paolo Genovese
1017986,尼克·卡萨维蒂 Nick Cassavetes,尼克·卡萨维蒂,Nick Cassavetes
1000420,大卫·弗兰科尔 David Frankel,大卫·弗兰科尔,David Frankel
1054420,罗曼·波兰斯基 Roman Polanski,罗曼·波兰斯基,Roman Polanski
1341214,忻钰坤 Yukun Xin,忻钰坤,Yukun Xin
1054419,弗朗西斯·福特·科波拉 Francis Ford Coppola,弗朗西斯·福特·科波拉,Francis Ford Coppola
1342405,詹姆斯·沃德·布柯特 James Ward Byrkit,詹姆斯·沃德·布柯特,James Ward Byrkit
1274431,刘镇伟 Jeffrey Lau,刘镇伟,Jeffrey Lau
1307788,菲尔·约翰斯顿 Phil Johnston,菲尔·约翰斯顿,Phil Johnston
1053554,今敏 Satoshi Kon,今敏,Satoshi Kon
1314163,米林宏昌 Hiromasa Yonebayashi,米林宏昌,Hiromasa Yonebayashi
1315887,姜炯哲 Hyeong-Cheol Kang,姜炯哲,Hyeong-Cheol Kang
1015633,森淳一 Junichi Mori,森淳一,Junichi Mori
1331648,黄信尧 Hsin-yao Huang,黄信尧,Hsin-yao Huang
1032122,温子仁 James Wan,温子仁,James Wan
1025148,盖·里奇 Guy Ritchie,盖·里奇,Guy Ritchie
1027514,肯尼思·洛纳根 Kenneth Lonergan,肯尼思·洛纳根,Kenneth Lonergan
1316646,徐誉庭 Mag Hsu,徐誉庭,Mag Hsu
1395674,许智彦 Chih-Yen Hsu,许智彦,Chih-Yen Hsu
1044973,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,弗洛里安·亨克尔·冯·多纳斯马尔克,Florian Henckel von Donnersmarck
1022570,M·奈特·沙马兰 M. Night Shyamalan,M·奈特·沙马兰,M. Night Shyamalan
1037497,伦尼·阿伯拉罕森 Lenny Abrahamson,伦尼·阿伯拉罕森,Lenny Abrahamson
1054444,昆汀·塔伦蒂诺 Quentin Tarantino,昆汀·塔伦蒂诺,Quentin Tarantino
1110585,近藤喜文 Yoshifumi Kondo,近藤喜文,Yoshifumi Kondo
1312987,钟孟宏 Mong-Hong Chung,钟孟宏,Mong-Hong Chung
1288263,托尼·凯耶 Tony Kaye,托尼·凯耶,Tony Kaye
1075862,陈国富 Kuo-fu Chen,陈国富,Kuo-fu Chen
1274943,高群书 Qunshu Gao,高群书,Qunshu Gao
1053561,米洛斯·福尔曼 Miloš Forman,米洛斯·福尔曼,Miloš Forman
